Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
L_logo,0.3065,0.75,-0.992,0,0,0,1824.288,940.459382144,9.2034491139259E-15,-9.46667337113164E-14,655.5312886,0,399.179906456,0,0,0,0,0,0,package://logo_urdf/meshes/L_logo.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://logo_urdf/meshes/L_logo.STL,,L_logo-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Base_logo,1.59816863108292,0.738976237325327,-0.743198804251725,0,0,0,6113.33915549822,2620.3510164548,-13.0852970044327,-687.554411864084,8971.78912525507,39.9768538161322,8718.83473556337,0,0,0,0,0,0,package://logo_urdf/meshes/Base_logo.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://logo_urdf/meshes/Base_logo.STL,,Base_logo-1,Origin_base_logo,Axis_base_logo,base_logo,fixed,0,0,0,1.5707963267949,0,0,L_logo,0,0,0,,,,,,,,,,,,
I_logo,1.0695,0.75,-0.685,0,0,0,1259.715,433.226486125,-4.58658492846533E-31,-5.55111512312578E-15,236.47674411125,0,275.64338298625,0,0,0,0,0,0,package://logo_urdf/meshes/I_logo.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://logo_urdf/meshes/I_logo.STL,,I_logo-1,Origin_i_logo,Axis_i_logo,i_logo,fixed,0,0,0,1.5707963267949,0,0,L_logo,0,0,0,,,,,,,,,,,,
Dot_logo,-0.621263013570749,0.75,-1.6891383211475,0,0,0,510.073695625819,109.4415396519,1.97831282738914E-31,0,27.6054434441171,-2.2201637408111E-31,109.4415396519,0,0,0,0,0,0,package://logo_urdf/meshes/Dot_logo.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://logo_urdf/meshes/Dot_logo.STL,,dot_logo-2,Origin_dot_logo,Axis_dot_logo,dot_logo,continuous,0,0,0,1.5707963267949,0,-1.77489823356395,L_logo,0,0,0,,,,,,,,,,,,
U_logo,2.80799597517163,0.75,-0.707390713926031,0,0,0,2435.0224598724,817.238672131539,0.000115381507157211,0.00110773544684508,750.205632880394,-5.11244815823484E-14,846.103053480615,0,0,0,0,0,0,package://logo_urdf/meshes/U_logo.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://logo_urdf/meshes/U_logo.STL,,U_logo-1,Origin_u_logo,Axis_u_logo,u_logo,fixed,0,0,0,1.5707963267949,0,0,L_logo,0,0,0,,,,,,,,,,,,
