Position_x,Position_y,Position_z,Velocity_x,Velocity_y,Velocity_z,Roll,Pitch,Yaw,AngularVelocity_x,AngularVelocity_y,AngularVelocity_z
4.4767537,3.4857092,0.20000036,-0.007103734,-0.0020070446,-0.008222979,0.0006753875,-0.00049096294,-0.00013139573,0.15106042,-0.14548017,-0.018835906
4.4767537,3.4857092,0.20000103,0.007986969,-0.002849544,-0.0023898066,0.001322876,-0.0021976323,0.00013254886,0.28138223,-0.2621044,-0.12820879
4.4767537,3.4857092,0.20000194,0.006931744,-0.0028830657,-0.00044043502,0.0034431494,-0.0029579801,-0.0007046268,0.39120376,-0.3441677,-0.07604169
4.476753,3.4857087,0.20000304,-0.0024224597,0.0098972535,0.0072607175,0.0046113078,-0.005493856,-0.0008428784,0.5221276,-0.39501473,-0.12685834
4.4767523,3.4857078,0.20000449,0.0036309466,0.0032199908,-0.0011528507,0.005450374,-0.0077956547,-0.0008766975,0.2807495,-0.72629285,0.13220805
4.4767504,3.485706,0.20000647,-0.0075228238,0.003325283,-0.0034705866,0.008073208,-0.010877842,-0.0010506503,0.46102896,-0.7154113,-0.05545488
4.4767475,3.4857035,0.200009,-0.009710143,0.0012232672,-0.007888199,0.010416545,-0.015381986,-0.0013581687,0.5478042,-1.0513166,0.057109512
4.4767423,3.4856992,0.20001207,-0.0014881776,0.0006105998,0.0052737556,0.012977879,-0.01857532,-0.001522872,0.5374846,-0.9255236,-0.15632217
4.476734,3.4856935,0.20001571,-0.01159341,0.0034183857,-0.0031338753,0.016478634,-0.022674102,-0.0021158024,0.8573158,-0.6961567,-0.10089391
4.476723,3.4856856,0.20001993,-0.0030456223,0.002219144,0.00027520754,0.019564144,-0.025993796,-0.002631348,0.9183602,-0.9925125,-0.0073125917
4.4767084,3.4856746,0.20002478,-0.0037339677,-0.0018701432,0.0061184866,0.02363132,-0.029361246,-0.0031686411,0.72191364,-0.7984668,0.11984983
4.4766893,3.4856606,0.20003037,-0.0024934073,-0.00592763,-0.0030376117,0.027369866,-0.032535203,-0.0033120455,0.84313196,-0.9064585,-0.03397872
4.476665,3.4856424,0.2000367,-0.0111330105,-0.0097745275,-0.0039565363,0.030515613,-0.03583655,-0.0035374172,0.89261276,-0.8935505,-0.11053036
4.4766355,3.4856195,0.20004384,-0.007614545,-0.006892241,-0.0032041888,0.033774808,-0.039021302,-0.003973944,0.74169344,-0.92157555,-0.24157871
4.476599,3.4855917,0.20005178,-0.004328597,-0.0068243756,0.005711426,0.036708336,-0.04175801,-0.0040328763,0.7662713,-0.8311709,-0.19658472
4.476557,3.485558,0.2000605,-0.0016504248,-0.0037411603,0.0040768962,0.03985015,-0.044871498,-0.004679598,0.58065253,-0.64415437,0.085865036
4.476507,3.4855182,0.20006998,-0.008712374,-0.018523851,-0.005205201,0.042763572,-0.047058474,-0.004693498,0.8742378,-0.6275316,-0.23473293
4.4764495,3.4854715,0.2000802,-0.020701459,-0.004355214,0.0013516215,0.04537004,-0.04974555,-0.004826342,0.73337185,-0.6930016,-0.103489004
4.476384,3.4854176,0.20009114,-0.011429063,-0.014787275,0.010842101,0.04779523,-0.052478716,-0.0052548293,0.7188237,-0.6614043,-0.014518757
4.4763103,3.4853559,0.20010276,-0.018849751,-0.0093727615,0.0045481366,0.05072354,-0.055091042,-0.0052728206,0.77889353,-0.60887814,-0.18988414
4.4762273,3.485286,0.20011503,-0.012440672,-0.01326284,-0.0007360111,0.053187154,-0.05691114,-0.005917168,0.43468216,-0.5778679,-0.12053132
4.476135,3.4852076,0.20012778,-0.02647045,-0.022092061,-6.771455e-05,0.05516286,-0.05885763,-0.005766087,0.4596293,-0.3316502,0.22711493
4.4760327,3.48512,0.20014088,-0.03094324,-0.016696176,0.0012688676,0.056898516,-0.0615973,-0.005721449,0.50311726,-0.6378314,-0.06103156
4.4759207,3.4850235,0.20015445,-0.02874153,-0.027967941,0.0017643983,0.058628615,-0.063417114,-0.0061706826,0.4313317,-0.40754044,0.016840426
4.4757977,3.4849172,0.20016834,-0.025060976,-0.028690359,0.0007471041,0.060233787,-0.06515302,-0.0065916735,0.2289479,-0.5919242,-0.027118087
4.475664,3.4848008,0.20018247,-0.03324464,-0.031560466,0.005006264,0.061914418,-0.06744655,-0.006608846,0.4215716,-0.38150895,-0.2153261
4.475519,3.4846745,0.20019649,-0.03891289,-0.020791806,0.005377525,0.06285295,-0.0693976,-0.006483787,0.003479518,-0.33596647,-0.08042054
4.475363,3.4845376,0.20020987,-0.039096378,-0.033133294,-0.011472539,0.06368253,-0.07101447,-0.0064082537,0.13633351,-0.337586,0.18231572
4.4751945,3.4843903,0.20022309,-0.044002373,-0.030129325,0.00027372275,0.06364256,-0.07251282,-0.0064289668,0.110197,-0.27601546,0.023110863
4.475014,3.4842322,0.2002357,-0.040963016,-0.039813545,-0.001744455,0.064321525,-0.073619984,-0.0056025423,0.08710751,-0.27437252,0.05526018
4.4748216,3.4840634,0.20024782,-0.041735608,-0.043194946,0.004869702,0.06318197,-0.07516156,-0.006155178,-0.029061345,-0.2454176,0.114039645
4.4746165,3.4838839,0.20025934,-0.044243593,-0.046536382,0.009733327,0.06327884,-0.07625534,-0.0058365925,-0.36841014,-0.2701729,0.046683684
4.4743986,3.4836938,0.20027041,-0.057293355,-0.034378182,0.010021466,0.062090054,-0.077073686,-0.005478539,-0.23294032,-0.39909437,0.007831865
