Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
wall_s1,-0.1,1,2.1,0,0,0,1680,3029.6,-9.40037234760435E-33,1.22864681391851E-14,2475.2,0,565.6,0,0,0,0,0,0,package://Room_big/meshes/wall_s1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Room_big/meshes/wall_s1.STL,,wall_short-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Wall_l2,-0.1,-1,2.4,0,0,0,2080,5380.26666666667,-4.74075063233781E-31,-1.12502599828683E-14,4693.86666666667,0,700.266666666667,0,0,0,0,0,0,package://Room_big/meshes/Wall_l2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Room_big/meshes/Wall_l2.STL,,wall_long-2,Origin_wall_l2,Axis_wall_l2,wall_l2,fixed,0,0,0,-1.5707963267949,0,-1.5707963267949,wall_s1,0,0,0,,,,,,,,,,,,
Wall_s3,5.1,1,1.9,0,0,0,1679.99999999999,3029.59999999999,-2.21436088129666E-30,1.47955721748378E-14,2475.19999999999,-5.9211894646675E-14,565.599999999998,0,0,0,0,0,0,package://Room_big/meshes/Wall_s3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Room_big/meshes/Wall_s3.STL,,wall_short-3,Origin_wall_s3,Axis_wall_s3,wall_s3,fixed,0,0,0,1.5707963267949,0,0,wall_s1,0,0,0,,,,,,,,,,,,
Wall_l4,4.1,-1,2.6,0,0,0,2080,5380.26666666666,-1.48029736616687E-15,-2.51650552248367E-14,4693.86666666666,0,700.266666666666,0,0,0,0,0,0,package://Room_big/meshes/Wall_l4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Room_big/meshes/Wall_l4.STL,,wall_long-3,Origin_wall_l4,Axis_wall_l4,wall_l4,fixed,0,0,0,-1.5707963267949,0,-1.5707963267949,wall_s1,0,0,0,,,,,,,,,,,,
