Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
wall_s1,-0.1,1,1.6,0,0,0,1280,1518.93333333333,7.40148683083437E-16,-1.1842378929335E-15,1096.53333333333,0,430.933333333333,0,0,0,0,0,0,package://room_urdf/meshes/wall_s1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://room_urdf/meshes/wall_s1.STL,,wall_short-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Wall_l2,-0.1,-1,1.9,0,0,0,1680,3029.6,9.17109497327253E-33,-6.36527867451756E-15,2475.2,2.20106279358541E-29,565.6,0,0,0,0,0,0,package://room_urdf/meshes/Wall_l2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://room_urdf/meshes/Wall_l2.STL,,wall_long-2,Origin_wall_l2,Axis_wall_l2,wall_l2,fixed,0,0,0,-1.5707963267949,0,-1.5707963267949,wall_s1,0,0,0,,,,,,,,,,,,
Wall_s3,4.1,1,1.4,0,0,0,1280,1518.93333333333,7.40148683083458E-16,2.9605947323333E-16,1096.53333333333,-1.63704045272915E-30,430.933333333333,0,0,0,0,0,0,package://room_urdf/meshes/Wall_s3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://room_urdf/meshes/Wall_s3.STL,,wall_short-3,Origin_wall_s3,Axis_wall_s3,wall_s3,fixed,0,0,0,1.5707963267949,0,0,wall_s1,0,0,0,,,,,,,,,,,,
Wall_l4,3.1,-1,2.1,0,0,0,1680,3029.6,4.31408307542741E-31,-1.35521223872578E-14,2475.2,-9.17109497327254E-31,565.6,0,0,0,0,0,0,package://room_urdf/meshes/Wall_l4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://room_urdf/meshes/Wall_l4.STL,,wall_long-3,Origin_wall_l4,Axis_wall_l4,wall_l4,fixed,0,0,0,-1.5707963267949,0,-1.5707963267949,wall_s1,0,0,0,,,,,,,,,,,,
